source,year,month,day,hour,minute,second,epicenter constraint,latitude,longitude,depth,mb,Ms,mag_1,mag_type_1,mag_source_1,mag_2,mag_type_2,mag_source_2,FE  region,precision,MMI,felt,non-tectonic flag
SRA,1568,1,1,0,0,0,Z,41.5,-72.5, , , , , , , , , ,476,H,6,null,null
SRA,1574,1,1,0,0,0,Z,41.5,-72.5, , , , , , , , , ,476,H,5,null,null
SRA,1584,1,1,0,0,0,Z,41.5,-72.5, , , , , , , , , ,476,H,5,null,null
SRA,1592,1,1,0,0,0,Z,41.5,-72.5, , , , , , , , , ,476,H,5,null,null
SRA,1627,1,1,0,0,0,Z,42.6,-70.8, , , , , , , , , ,476,I,6,null,null
SRA,1638,7,1,0,0,0,Z,42.5,-70.9, , , , , , , , , ,476,I,3,null,null
SRA,1639,1,25,0,0,0,Z,42.5,-70.9, , , , , , , , , ,476,I,3,null,null
SRA,1643,3,15,12,0,0,Z,42.8,-70.8, , , , , , , , , ,476,I,5,null,null
SRA,1643,6,11,18,0,0,Z,42.8,-70.8, , , , , , , , , ,476,H,4,null,null
SRA,1644,3,14,0,0,0,Z,41.9,-70.6, , , , , , , , , ,476,I,2,null,null
SRA,1653,11,8,0,0,0,Z,42.6,-70.9, , , , , , , , , ,476,I,4,null,null
SRA,1658,4,14,0,0,0,Z,42.5,-70.9, , , , , , , , , ,476,I,5,null,null
SRA,1662,2,5,23,0,0,Z,41.9,-70.6, , , , , , , , , ,476,I,2,null,null
SRA,1668,4,3,14,0,0,Z,42.3,-71.1, , , , , , , , , ,476,I,4,null,null
SRA,1668,6,26,0,0,0,Z,42.3,-71.1, , , , , , , , , ,476,I,2,null,null
SRA,1669,11,30,0,0,0,Z,42.3,-71.1, , , , , , , , , ,476,I,2,null,null
SRA,1670,1,1,0,0,0,Z,42.3,-71.1, , , , , , , , , ,476,I,2,null,null
SRA,1677,12,13,0,0,0,Z,41.1,-73.5, , , , , , , , , ,472,H,4,null,null
