source,year,month,day,hour,minute,second,epicenter constraint,latitude,longitude,depth,mb,Ms,mag_1,mag_type_1,mag_source_1,mag_2,mag_type_2,mag_source_2,FE  region,precision,MMI,felt,unknown
USHIS,1638,6,11,7,0,0,Z,46.5,-72.5,,,,,,,,,,447,I,9,F,0
USHIS,1663,2,5,22,30,0,Z,47.6,-70.1,,,,,,,,,,447,H,10,F,0
USHIS,1727,11,10,3,40,0,Z,42.8,-70.8,,,,,,,,,,476,G,7,F,0
USHIS,1732,9,16,16,0,0,Z,45.5,-73.6,,,,,,,,,,447,G,9,F,0
USHIS,1737,12,19,3,45,0,Z,40.8,-74,,,,,,,,,,494,H,7,F,0
USHIS,1744,6,14,15,15,0,Z,42.6,-70.9,,,,,,,,,,476,H,6,F,0
USHIS,1755,11,18,9,11,35,Z,42.7,-70.3,,,,,,,,,,476,H,8,F,0
USHIS,1761,3,12,7,15,0,Z,42.7,-70.3,,,,,,,,,,476,H,5,F,0
USHIS,1766,2,2,,,,Z,42,-68,,,,,,,,,,477,I,6,F,0
USHIS,1769,7,28,,,,Z,33.9,-117.8,,,,6,ML,ELL,,,,43,H,8,F,3
USHIS,1774,2,21,19,11,0,Z,37.2,-77.4,,,,4.5,FA,SC,,,,492,G,6,F,3
USHIS,1780,2,6,,,,Z,30.4,-87.2,,,,,,,,,,508,G,6,F,0
USHIS,1783,11,30,3,50,0,Z,41,-74.5,,,,5.3,FA,SET,,,,472,H,6,F,3
USHIS,1788,7,22,,,,Z,56,-157,,,,,,,,,,12,I,7,F,0
USHIS,1788,8,7,,,,Z,55,-161,,,,,,,,,,12,I,.,.,0
USHIS,1791,5,16,13,0,0,Z,41.5,-72.5,,,,,,,,,,476,G,7,F,0
USHIS,1796,5,20,,,,Z,54,-167,,,,,,,,,,9,I,.,F,0
USHIS,1800,10,11,,,,Z,36.9,-121.6,,,,,,,,,,39,H,7,F,0
USHIS,1800,11,22,21,30,0,Z,33,-117.3,,,,6.5,ML,CDMG,,,,43,H,7,F,3
USHIS,1800,12,25,,,,Z,41.9,-71.1,,,,,,,,,,476,H,6,F,0
