FIELD,FIELD DESCRIPTION
source,"source containing additional documentation on parameters ; USHIS - Stover, C.W. and Coffman, J. L., 1993, Seismicity of the United States, 1568 Ð 1989, U.S. Geological Survey Professional Paper 1527, 418 pp"
year,year of earthquake occurrence
month,month of earthquake occurrence
day,day of earthquake occurrence
hour,hour of earthquake occurrence; left blank if time is not known
minute,"minute of earthquake occurrence; if hour is known, but minute is unknown, minute is represented as 0 "
second,"second of earthquake occurrence, if hour is known, but second is unknown, second is represented as 0"
epicenter constraint,"""Z"" -  epicenter determined from macroseismic data;  blank - epicenter constrained or determined by seismographic data"
latitude,"geographic latitude, south negative"
longitude,"geographic longitude, west negative"
depth,focal-depth in km
mb,"short-period body wave magnitude, usually that listed in the PDE bulletin of the USGS/National Earthquake Information Center and predecessor agencies"
Ms,"long-period (~ 20s) surface-wave magnitude,  usually that listed in the PDE bulletin of the USGS/National Earthquake Information Center and predecessor agencies"
mag_1,first-listed magnitude that is not mb(PDE) or Ms(PDE)
mag_type_1,"type of magnitude 1; ""FA"" - based on felt area; ""Lg"" - based on short-period Lg phase; ""mb"" - body-wave magnitude; ""MD"" - duration magnitude; ""ML"" - local magnitude; ""MS"" - surface-wave magnitude; ""Mw"" - moment magnitude; ""UK"" - magnitude-type unknown;  more documentation in Stover and Coffman (1993)"
mag_source_1,"source of magnitude 1, documented in Stover and Coffman (1993)"
mag_2,second-listed magnitude that is not mb(PDE) or Ms(PDE)
mag_type_2,"type of magnitude 2; ""FA"" - based on felt area; ""Lg"" - based on short-period Lg phase; ""mb"" - body-wave magnitude; ""MD"" - duration magnitude; ""ML"" - local magnitude; ""MS"" - surface-wave magnitude; ""UK"" - magnitude-type unknown;  more documentation in Stover and Coffman (1989)"
mag_source_2,"source of magnitude 2, documented in Stover and Coffman (1993)"
FE  region,Flinn-Engdahl region
precision,"qualitative estimate of precision, from ""A"" = highest precision to ""I"" = lowest precision; "
MMI,"maximum observed Modified Mercalli Intensity (MMI) on a scale of 1-12; for non-U.S. shocks for which the MMI near the epicenter is not known, the maximum intensity in the U.S. is given; '.' signifies that data were insufficient to estimate an MMO"
felt,"""F"" -- earthquake was reported felt; ""."" -- documentation of the earthquake being felt was not available to Stover and Coffman(1993); sometimes observations establish that earthquake was felt, but are insufficient to estimate a Modified Mercalli Intensity (MMI)"
unknown,parameter listed in USHIS whose significance is not known to us
